Poziom;Kategoria;English;Polski;English Sample;Translate English sample
A2;Rodzina i znajomi;stepsister;przyrodnia siostra;My stepsister wants to become a singer.;Moja przyrodnia siostra chce zostać piosenkarką.
A2;Rodzina i znajomi;stepbrother;przyrodni brat;Her stepbrother is very good at swimming.;Jej przyrodni brat jest bardzo dobry w pływaniu.
A2;Rodzina i znajomi;half-sister;siostra przyrodnia;My half-sister lives in Germany now.;Moja siostra przyrodnia mieszka teraz w Niemczech.
A2;Rodzina i znajomi;half-brother;brat przyrodni;Do you know if his half-brother plays football?;Czy wiesz, czy jego brat przyrodni gra w piłkę nożną?
A2;Rodzina i znajomi;in-laws;teściowie;I spent last weekend with my in-laws.;Spędziłem ostatni weekend z teściami.
A2;Rodzina i znajomi;mother-in-law;teściowa;My mother-in-law makes delicious cakes.;Moja teściowa robi pyszne ciasta.
A2;Rodzina i znajomi;father-in-law;teść;My father-in-law enjoys watching football on TV.;Mój teść lubi oglądać piłkę nożną w telewizji.
A2;Rodzina i znajomi;son;syn;Their son wants to be a doctor when he grows up.;Ich syn chce zostać lekarzem, gdy dorośnie.
A2;Rodzina i znajomi;daughter;córka;Her daughter is drawing pictures in her room.;Jej córka rysuje obrazki w swoim pokoju.
A2;Rodzina i znajomi;niece;siostrzenica/bratanica;My niece is learning how to ride a bike.;Moja siostrzenica uczy się jeździć na rowerze.
A2;Rodzina i znajomi;nephew;siostrzeniec/bratanek;My nephew told me a funny story yesterday.;Mój siostrzeniec opowiedział mi wczoraj zabawną historię.
A2;Rodzina i znajomi;grandson;wnuk;The grandson often plays chess with his grandfather.;Wnuk często gra w szachy ze swoim dziadkiem.
A2;Rodzina i znajomi;granddaughter;wnuczka;The granddaughter is helping her grandmother bake cookies.;Wnuczka pomaga swojej babci piec ciastka.
A2;Rodzina i znajomi;godmother;matka chrzestna;His godmother gave him a wonderful book.;Jego matka chrzestna dała mu wspaniałą książkę.
A2;Rodzina i znajomi;godfather;ojciec chrzestny;My godfather took me to the zoo last summer.;Mój ojciec chrzestny zabrał mnie latem do zoo.
A2;Rodzina i znajomi;boss;szef;My boss wants the project to be finished by Friday.;Mój szef chce, aby projekt został ukończony do piątku.
A2;Rodzina i znajomi;team;zespół;Our team is training hard for the competition.;Nasz zespół ciężko trenuje do zawodów.
A2;Rodzina i znajomi;mate;kumpel;I often go fishing with my mate.;Często chodzę na ryby z kumplem.
A2;Dom i mieszkanie;house;dom;We painted the house last summer and it looks new.;W zeszłe lato pomalowaliśmy dom i wygląda jak nowy.
A2;Dom i mieszkanie;flat;mieszkanie;Their flat has two bedrooms and a small balcony.;Ich mieszkanie ma dwie sypialnie i mały balkon.
A2;Dom i mieszkanie;room;pokój;Can I borrow your room for an hour?;Czy mogę użyć twojego pokoju na godzinę?
A2;Dom i mieszkanie;kitchen;kuchnia;The kitchen smells like fresh bread this morning.;Kuchnia dziś rano pachnie świeżym chlebem.
A2;Dom i mieszkanie;bathroom;łazienka;Please clean the bathroom after your shower.;Proszę posprzątaj łazienkę po prysznicu.
A2;Dom i mieszkanie;bedroom;sypialnia;She keeps a small lamp on her bedroom table.;Ona trzyma małą lampkę na stoliku w sypialni.
A2;Dom i mieszkanie;living room;salon;We watched a movie together in the living room.;Oglądaliśmy razem film w salonie.
A2;Dom i mieszkanie;dining room;jadalnia;The dining room table is set for six people.;Stół w jadalni jest nakryty dla sześciu osób.
A2;Dom i mieszkanie;hall;przedpokój;Please take off your shoes in the hall.;Proszę zdejmij buty w przedpokoju.
A2;Dom i mieszkanie;garden;ogród;There are many roses in our garden this year.;W tym roku w naszym ogrodzie jest dużo róż.
A2;Dom i mieszkanie;balcony;balkon;They have a small balcony with a view of the park.;Maj¹ mały balkon z widokiem na park.
A2;Dom i mieszkanie;garage;garaż;I keep my bike in the garage during winter.;Trzymam rower w garażu przez zimę.
A2;Dom i mieszkanie;roof;dach;The roof needs to be repaired before winter.;Dach trzeba naprawić przed zimą.
A2;Dom i mieszkanie;wall;ściana;She hung a big painting on the living room wall.;Ona zawiesiła duży obraz na ścianie w salonie.
A2;Dom i mieszkanie;window;okno;Open the window, the room feels stuffy.;Otwórz okno, pokój jest duszny.
A2;Dom i mieszkanie;door;drzwi;The front door is painted bright red.;Drzwi wejściowe są pomalowane na jaskrawoczerwono.
A2;Dom i mieszkanie;floor;podłoga;We need a new floor in the kitchen.;Potrzebujemy nowej podłogi w kuchni.
A2;Dom i mieszkanie;ceiling;sufit;The ceiling in the attic is very low.;Sufit na strychu jest bardzo niski.
A2;Dom i mieszkanie;stairs;schody;Please hold the baby while I go down the stairs.;Trzymaj proszę dziecko, pójdę po schodach.
A2;Dom i mieszkanie;lift;winda;The lift is out of order so we use the stairs.;Winda jest zepsuta, więc korzystamy ze schodów.
A2;Dom i mieszkanie;sofa;sofa;The sofa in the shop is extremely comfortable.;Sofa w sklepie jest niezwykle wygodna.
A2;Dom i mieszkanie;armchair;fotel;He sat in the armchair and read the newspaper.;Usiadł w fotelu i czytał gazetę.
A2;Dom i mieszkanie;table;stół;Put the keys on the small table by the door.;Połóż klucze na małym stole przy drzwiach.
A2;Dom i mieszkanie;chair;krzesło;There is an extra chair in the kitchen if you need it.;W kuchni jest dodatkowe krzesło, jeśli go potrzebujesz.
A2;Dom i mieszkanie;bed;łóżko;I bought a new bed because the old one was uncomfortable.;Kupiłem nowe łóżko, ponieważ stare było niewygodne.
A2;Dom i mieszkanie;wardrobe;szafa;Her wardrobe is full of colourful dresses.;Jej szafa jest pełna kolorowych sukienek.
A2;Dom i mieszkanie;shelf;półka;She put her favourite books on the top shelf.;Położyła swoje ulubione książki na najwyższej półce.
A2;Dom i mieszkanie;desk;biurko;I do my homework at the desk in my room.;Odrabiam pracę domową przy biurku w swoim pokoju.
A2;Dom i mieszkanie;lamp;lampa;Turn on the lamp if you want to read at night.;Włącz lampę, jeśli chcesz czytać w nocy.
A2;Dom i mieszkanie;carpet;dywan;The carpet in the living room is very soft.;Dywan w salonie jest bardzo miękki.
A2;Dom i mieszkanie;mirror;lustro;She looked at herself in the mirror before going out.;Spojrzała w lustro, zanim wyszła.
A2;Dom i mieszkanie;toilet;toaleta;The public toilet near the station is clean.;Toaleta publiczna przy stacji jest czysta.
A2;Dom i mieszkanie;shower;prysznic;I prefer a hot shower in the morning.;Wolę gorący prysznic rano.
A2;Dom i mieszkanie;bath;wanna;I filled the bath with warm water and bubbles.;Nalałem wanny ciepłą wodą i pianą.
A2;Dom i mieszkanie;sink;zlew;There is a small crack in the kitchen sink.;W zlewie kuchennym jest mała pęknięcie.
A2;Dom i mieszkanie;fridge;lodówka;Put the milk back in the fridge after use.;Włóż mleko z powrotem do lodówki po użyciu.
A2;Dom i mieszkanie;freezer;zamrażarka;The freezer is full of homemade ice cream.;Zamrażarka jest pełna domowych lodów.
A2;Dom i mieszkanie;oven;piekarnik;Preheat the oven to 180 degrees before baking.;Rozgrzej piekarnik do 180 stopni przed pieczeniem.
A2;Dom i mieszkanie;stove;kuchenka;The old stove makes strange noises when it is on.;Stara kuchenka wydaje dziwne dźwięki, gdy jest włączona.
A2;Dom i mieszkanie;microwave;mikrofalówka;I heat leftovers in the microwave for one minute.;Podgrzewam resztki w mikrofalówce przez minutę.
A2;Dom i mieszkanie;washing machine;pralka;Our washing machine broke down last week.;Nasza pralka zepsuła się w zeszłym tygodniu.
A2;Dom i mieszkanie;dishwasher;zmywarka;We bought a dishwasher to save time after dinners.;Kupiliśmy zmywarkę, żeby oszczędzić czas po obiadach.
A2;Dom i mieszkanie;cupboard;szafka;He keeps his best plates in the kitchen cupboard.;Trzyma najlepsze talerze w szafce kuchennej.
A2;Dom i mieszkanie;curtain;zasłona;Close the curtains when the sun is too bright.;Zasłoń zasłony, gdy słońce świeci za mocno.
A2;Dom i mieszkanie;pillow;poduszka;I bought two soft pillows for better sleep.;Kupiłem dwie miękkie poduszki dla lepszego snu.
A2;Dom i mieszkanie;blanket;koc;She wrapped the baby in a warm blanket.;Owinęła niemowlę w ciepły koc.
A2;Dom i mieszkanie;sheet;prześcieradło;Change the sheets on the bed once a week.;Zmieniaj prześcieradło na łóżku raz w tygodniu.
A2;Dom i mieszkanie;drawer;szuflada;There are old letters in the bottom drawer of the desk.;W dolnej szufladzie biurka są stare listy.
A2;Dom i mieszkanie;chimney;komin;The chimney needs cleaning before winter comes.;Komin trzeba wyczyścić przed nadejściem zimy.
A2;Jedzenie i picie;bread;chleb;Fresh bread smells wonderful in the morning.;Świeży chleb pachnie cudownie rano.
A2;Jedzenie i picie;butter;masło;Could you spread some butter on my toast?;Czy mógłbyś posmarować mój tost masłem?
A2;Jedzenie i picie;cheese;ser;This cheese is made from goat’s milk.;Ten ser jest zrobiony z koziego mleka.
A2;Jedzenie i picie;milk;mleko;There isn’t enough milk for the coffee.;Nie ma wystarczająco mleka do kawy.
A2;Jedzenie i picie;egg;jajko;He fried an egg for breakfast.;On usmażył jajko na śniadanie.
A2;Jedzenie i picie;meat;mięso;Do you prefer white meat or red meat?;Wolisz białe mięso czy czerwone mięso?
A2;Jedzenie i picie;chicken;kurczak;We had roast chicken for Sunday lunch.;Na niedzielny obiad jedliśmy pieczonego kurczaka.
A2;Jedzenie i picie;beef;wołowina;Beef is more expensive than pork.;Wołowina jest droższa niż wieprzowina.
A2;Jedzenie i picie;pork;wieprzowina;They cooked pork with vegetables for dinner.;Na obiad ugotowali wieprzowinę z warzywami.
A2;Jedzenie i picie;fish;ryba;I like eating grilled fish by the sea.;Lubię jeść grillowaną rybę nad morzem.
A2;Jedzenie i picie;apple;jabłko;She cut the apple into small pieces.;Ona pokroiła jabłko na małe kawałki.
A2;Jedzenie i picie;banana;banan;Monkeys often eat bananas in the zoo.;Małpy w zoo często jedzą banany.
A2;Jedzenie i picie;orange;pomarańcza;Orange juice is rich in vitamin C.;Sok pomarańczowy jest bogaty w witaminę C.
A2;Jedzenie i picie;lemon;cytryna;Add a slice of lemon to the tea.;Dodaj plasterek cytryny do herbaty.
A2;Jedzenie i picie;grape;winogrono;We bought a kilo of sweet grapes.;Kupiliśmy kilogram słodkich winogron.
A2;Jedzenie i picie;pear;gruszka;This pear is very juicy.;Ta gruszka jest bardzo soczysta.
A2;Jedzenie i picie;strawberry;truskawka;Strawberries grow in the garden in June.;Truskawki rosną w ogrodzie w czerwcu.
A2;Jedzenie i picie;vegetable;warzywo;Eating vegetables every day is healthy.;Jedzenie warzyw codziennie jest zdrowe.
A2;Jedzenie i picie;carrot;marchewka;Rabbits like eating carrots.;Króliczki lubią jeść marchewki.
A2;Jedzenie i picie;tomato;pomidor;Tomatoes are used in many salads.;Pomidory są używane w wielu sałatkach.
A2;Jedzenie i picie;potato;ziemniak;He boiled some potatoes for dinner.;Ugotował ziemniaki na obiad.
A2;Jedzenie i picie;onion;cebula;Chopping onions makes me cry.;Krojenie cebuli doprowadza mnie do łez.
A2;Jedzenie i picie;garlic;czosnek;Garlic is often used in Italian food.;Czosnek jest często używany w kuchni włoskiej.
A2;Jedzenie i picie;pepper;papryka;She stuffed the pepper with rice.;Ona nadziała paprykę ryżem.
A2;Jedzenie i picie;salad;sałatka;We ate a fresh salad with cucumbers and tomatoes.;Zjedliśmy świeżą sałatkę z ogórkami i pomidorami.
A2;Jedzenie i picie;soup;zupa;Chicken soup is good when you are ill.;Rosół jest dobry, kiedy jesteś chory.
A2;Jedzenie i picie;rice;ryż;They served rice with vegetables.;Podali ryż z warzywami.
A2;Jedzenie i picie;pasta;makaron;My favourite pasta is spaghetti.;Mój ulubiony makaron to spaghetti.
A2;Jedzenie i picie;pizza;pizza;Let’s share a big pizza.;Podzielmy się dużą pizzą.
A2;Jedzenie i picie;sandwich;kanapka;I made a sandwich with ham and cheese.;Zrobiłem kanapkę z szynką i serem.
A2;Jedzenie i picie;cake;ciasto;He baked a cake for her birthday.;On upiekł ciasto na jej urodziny.
A2;Jedzenie i picie;cookie;ciastko;Can I have a cookie with my tea?;Czy mogę dostać ciastko do herbaty?
A2;Jedzenie i picie;ice cream;lody;The children are eating ice cream in the park.;Dzieci jedzą lody w parku.
A2;Jedzenie i picie;sugar;cukier;There is too much sugar in this drink.;W tym napoju jest za dużo cukru.
A2;Jedzenie i picie;salt;sól;Add a little salt to the pasta.;Dodaj trochę soli do makaronu.
A2;Jedzenie i picie;pepper (spice);pieprz;I don’t like too much black pepper in my food.;Nie lubię za dużo pieprzu w jedzeniu.
A2;Jedzenie i picie;oil;olej;Heat the oil before frying the onions.;Rozgrzej olej przed smażeniem cebuli.
A2;Jedzenie i picie;water;woda;Can I have a glass of water, please?;Czy mogę prosić szklankę wody?
A2;Jedzenie i picie;juice;sok;Do you want apple juice or orange juice?;Chcesz sok jabłkowy czy pomarańczowy?
A2;Jedzenie i picie;coffee;kawa;He drinks coffee every morning.;On pije kawę każdego ranka.
A2;Jedzenie i picie;tea;herbata;Would you like some tea with lemon?;Chciałbyś herbatę z cytryną?
A2;Jedzenie i picie;beer;piwo;They ordered two beers at the bar.;Zamówili dwa piwa w barze.
A2;Jedzenie i picie;wine;wino;A bottle of wine is on the table.;Na stole stoi butelka wina.
A2;Jedzenie i picie;breakfast;śniadanie;Breakfast gives me energy for the day.;Śniadanie daje mi energię na dzień.
A2;Jedzenie i picie;lunch;lunch/obiad;What time do you usually have lunch?;O której godzinie zazwyczaj jesz lunch?
A2;Jedzenie i picie;dinner;obiad/kolacja;We invited friends for dinner yesterday.;Wczoraj zaprosiliśmy przyjaciół na obiad.
A2;Jedzenie i picie;snack;przekąska;She always has a small snack before bed.;Ona zawsze je małą przekąskę przed snem.
A2;Jedzenie i picie;meal;posiłek;That was the best meal I’ve ever had.;To był najlepszy posiłek, jaki kiedykolwiek jadłem.
A2;Jedzenie i picie;fork;widelec;There is a fork missing from the table.;Brakuje widelca na stole.
A2;Jedzenie i picie;knife;nóż;Be careful with this knife, it’s sharp.;Uważaj na ten nóż, jest ostry.
A2;Jedzenie i picie;spoon;łyżka;He stirred the soup with a spoon.;On zamieszał zupę łyżką.
A2;Transport i podróże;car;samochód;He bought a new car last month.;On kupił nowy samochód w zeszłym miesiącu.
A2;Transport i podróże;bus;autobus;The bus to the city leaves every 15 minutes.;Autobus do miasta odjeżdża co 15 minut.
A2;Transport i podróże;train;pociąg;We travelled to Warsaw by train.;Podróżowaliśmy do Warszawy pociągiem.
A2;Transport i podróże;plane;samolot;The plane landed safely at midnight.;Samolot wylądował bezpiecznie o północy.
A2;Transport i podróże;boat;łódź;They crossed the river in a small boat.;Przepłynęli rzekę małą łodzią.
A2;Transport i podróże;ship;statek;The ship sailed from the harbour in the morning.;Statek wypłynął z portu rano.
A2;Transport i podróże;bicycle;rower;She rides her bicycle to school every day.;Ona codziennie jeździ rowerem do szkoły.
A2;Transport i podróże;motorbike;motocykl;His motorbike is very fast.;Jego motocykl jest bardzo szybki.
A2;Transport i podróże;taxi;taksówka;We took a taxi to the hotel.;Pojechaliśmy taksówką do hotelu.
A2;Transport i podróże;tram;tramwaj;The tram stopped near the theatre.;Tramwaj zatrzymał się obok teatru.
A2;Transport i podróże;underground;metro;I use the underground to get to work.;Korzystam z metra, aby dojechać do pracy.
A2;Transport i podróże;station;stacja;The train leaves from platform 3 at the station.;Pociąg odjeżdża z peronu 3 na stacji.
A2;Transport i podróże;airport;lotnisko;We arrived at the airport two hours before the flight.;Przyjechaliśmy na lotnisko dwie godziny przed lotem.
A2;Transport i podróże;harbour;port;There are many fishing boats in the harbour.;W porcie jest wiele łodzi rybackich.
A2;Transport i podróże;ticket;bilet;I bought a ticket for the concert online.;Kupiłem bilet na koncert przez internet.
A2;Transport i podróże;seat;miejsce;Is this seat free?;Czy to miejsce jest wolne?
A2;Transport i podróże;luggage;bagaż;Her luggage was very heavy.;Jej bagaż był bardzo ciężki.
A2;Transport i podróże;suitcase;walizka;He packed his suitcase before the trip.;On spakował walizkę przed podróżą.
A2;Transport i podróże;backpack;plecak;The student carries books in a backpack.;Uczeń nosi książki w plecaku.
A2;Transport i podróże;map;mapa;We need a map to find the hotel.;Potrzebujemy mapy, żeby znaleźć hotel.
A2;Transport i podróże;passport;paszport;Don’t forget your passport when you travel abroad.;Nie zapomnij paszportu, gdy podróżujesz za granicę.
A2;Transport i podróże;visa;wiza;You need a visa to enter that country.;Potrzebujesz wizy, aby wjechać do tego kraju.
A2;Transport i podróże;hotel;hotel;The hotel has a swimming pool and a spa.;Hotel ma basen i spa.
A2;Transport i podróże;reception;recepcja;Please ask at the reception for your room key.;Proszę zapytać w recepcji o klucz do pokoju.
A2;Transport i podróże;reservation;rezerwacja;I made a reservation for two nights.;Zrobiłem rezerwację na dwie noce.
A2;Transport i podróże;journey;podróż;The journey took more than ten hours.;Podróż trwała ponad dziesięć godzin.
A2;Transport i podróże;trip;wycieczka;We went on a school trip to the museum.;Pojechaliśmy na szkolną wycieczkę do muzeum.
A2;Transport i podróże;travel;podróżować;They love to travel around the world.;Oni uwielbiają podróżować po świecie.
A2;Transport i podróże;holiday;wakacje;We spent our holiday at the seaside.;Spędziliśmy wakacje nad morzem.
A2;Transport i podróże;tourist;turysta;The city is full of tourists in summer.;Latem miasto jest pełne turystów.
A2;Transport i podróże;guide;przewodnik;The guide showed us the old castle.;Przewodnik pokazał nam stary zamek.
A2;Transport i podróże;beach;plaża;Children are playing on the beach.;Dzieci bawią się na plaży.
A2;Transport i podróże;mountains;góry;We went hiking in the mountains.;Poszliśmy na wędrówkę w góry.
A2;Transport i podróże;island;wyspa;They spent a week on a tropical island.;Spędzili tydzień na tropikalnej wyspie.
A2;Transport i podróże;border;granica;We crossed the border at night.;Przekroczyliśmy granicę w nocy.
A2;Transport i podróże;customs;odprawa celna;We had to wait at customs for an hour.;Musieliśmy czekać na odprawie celnej godzinę.
A2;Transport i podróże;delay;opóźnienie;The flight had a two-hour delay.;Lot miał dwugodzinne opóźnienie.
A2;Transport i podróże;departure;odlot/odjazd;The departure is scheduled for 8 a.m.;Odlot jest zaplanowany na godzinę 8:00.
A2;Transport i podróże;arrival;przylot/przyjazd;We are waiting for the arrival of the train.;Czekamy na przyjazd pociągu.
A2;Transport i podróże;ticket office;kasa biletowa;I bought a ticket at the ticket office.;Kupiłem bilet w kasie biletowej.
A2;Transport i podróże;platform;peron;The train to Berlin leaves from platform 2.;Pociąg do Berlina odjeżdża z peronu 2.
A2;Transport i podróże;stop;przystanek;This is the last bus stop.;To jest ostatni przystanek autobusu.
A2;Transport i podróże;petrol station;stacja benzynowa;We stopped at a petrol station to buy fuel.;Zatrzymaliśmy się na stacji benzynowej, aby zatankować.
A2;Transport i podróże;traffic;ruch uliczny;There is a lot of traffic in the city centre.;W centrum miasta jest duży ruch uliczny.
A2;Transport i podróże;road;droga;The road to the village is very narrow.;Droga do wioski jest bardzo wąska.
A2;Transport i podróże;street;ulica;Our school is on Green Street.;Nasza szkoła jest przy ulicy Green.
A2;Transport i podróże;crossroad;skrzyżowanie;Turn left at the crossroad.;Skręć w lewo na skrzyżowaniu.
A2;Transport i podróże;bridge;most;There is a big bridge over the river.;Nad rzeką jest duży most.
A2;Transport i podróże;tunnel;tunel;The tunnel is five kilometres long.;Tunel ma pięć kilometrów długości.
B1;Podróże i turystyka;sightseeing;zwiedzanie;We spent the afternoon sightseeing in the old town.;Spędziliśmy popołudnie na zwiedzaniu starego miasta.
B1;Podróże i turystyka;excursion;wycieczka;Our class is going on an excursion to the science museum.;Nasza klasa jedzie na wycieczkę do muzeum nauki.
B1;Podróże i turystyka;journey;podróż;The journey across the desert was long and tiring.;Podróż przez pustynię była długa i męcząca.
B1;Podróże i turystyka;voyage;rejs;The voyage across the Atlantic took two weeks.;Rejs przez Atlantyk trwał dwa tygodnie.
B1;Podróże i turystyka;trip;wyjazd;We are planning a weekend trip to the mountains.;Planujemy weekendowy wyjazd w góry.
B1;Podróże i turystyka;tour;objazd/wycieczka;They booked a tour of Italy with a travel agency.;Zarezerwowali objazdową wycieczkę po Włoszech w biurze podróży.
B1;Podróże i turystyka;adventure;przygoda;Climbing the volcano was the greatest adventure of my life.;Wspinaczka na wulkan była największą przygodą mojego życia.
B1;Podróże i turystyka;destination;cel podróży;Paris is a very popular holiday destination.;Paryż to bardzo popularny cel podróży.
B1;Podróże i turystyka;accommodation;zakwaterowanie;The hotel provides accommodation for up to 200 guests.;Hotel zapewnia zakwaterowanie dla 200 gości.
B1;Podróże i turystyka;hostel;hostel;We stayed in a cheap hostel near the station.;Zatrzymaliśmy się w tanim hostelu blisko dworca.
B1;Podróże i turystyka;guesthouse;pensjonat;The family runs a small guesthouse by the sea.;Rodzina prowadzi mały pensjonat nad morzem.
B1;Podróże i turystyka;bed and breakfast;nocleg ze śniadaniem;We booked a bed and breakfast in the countryside.;Zarezerwowaliśmy nocleg ze śniadaniem na wsi.
B1;Podróże i turystyka;campsite;kemping;The campsite is next to a beautiful lake.;Kemping znajduje się obok pięknego jeziora.
B1;Podróże i turystyka;tent;namiot;We slept in a tent during our hiking trip.;Spaliśmy w namiocie podczas naszej wędrówki.
B1;Podróże i turystyka;caravan;przyczepa kempingowa;They bought a caravan to travel around Europe.;Kupili przyczepę kempingową, aby podróżować po Europie.
B1;Podróże i turystyka;luggage;bagaż;Her luggage was lost at the airport.;Jej bagaż zaginął na lotnisku.
B1;Podróże i turystyka;baggage claim;odbiór bagażu;We waited for our suitcases at the baggage claim area.;Czekaliśmy na nasze walizki przy odbiorze bagażu.
B1;Podróże i turystyka;check-in desk;stanowisko odprawy;Please go to the check-in desk with your passport.;Proszę udać się do stanowiska odprawy z paszportem.
B1;Podróże i turystyka;boarding pass;karta pokładowa;You need a boarding pass to enter the plane.;Potrzebujesz karty pokładowej, aby wejść do samolotu.
B1;Podróże i turystyka;security check;kontrola bezpieczeństwa;We went through security check before boarding.;Przeszliśmy kontrolę bezpieczeństwa przed wejściem na pokład.
B1;Podróże i turystyka;customs officer;celnik;The customs officer asked me about the items in my bag.;Celnik zapytał mnie o rzeczy w mojej torbie.
B1;Podróże i turystyka;departure lounge;hala odlotów;We waited in the departure lounge for two hours.;Czekaliśmy w hali odlotów przez dwie godziny.
B1;Podróże i turystyka;arrival hall;hala przylotów;They met us in the arrival hall.;Spotkali się z nami w hali przylotów.
B1;Podróże i turystyka;delayed flight;opóźniony lot;Our delayed flight arrived three hours late.;Nasz opóźniony lot przyleciał trzy godziny później.
B1;Podróże i turystyka;cancelled flight;odwołany lot;The cancelled flight made many tourists angry.;Odwołany lot rozzłościł wielu turystów.
B1;Podróże i turystyka;gate;bramka;The passengers are waiting at gate 15.;Pasażerowie czekają przy bramce numer 15.
B1;Podróże i turystyka;runway;pas startowy;The plane is waiting on the runway.;Samolot czeka na pasie startowym.
B1;Podróże i turystyka;pilot;pilot;The pilot greeted the passengers.;Pilot przywitał pasażerów.
B1;Podróże i turystyka;cabin crew;załoga samolotu;The cabin crew demonstrated the safety instructions.;Załoga samolotu pokazała instrukcje bezpieczeństwa.
B1;Podróże i turystyka;stewardess;stewardesa;The stewardess offered drinks to the passengers.;Stewardesa zaproponowała napoje pasażerom.
B1;Podróże i turystyka;sight;zabytek/atrakcja;The Eiffel Tower is the most famous sight in Paris.;Wieża Eiffla to najsłynniejszy zabytek w Paryżu.
B1;Podróże i turystyka;museum;muzeum;The museum has an exhibition about ancient Egypt.;Muzeum ma wystawę o starożytnym Egipcie.
B1;Podróże i turystyka;gallery;galeria;We visited an art gallery in the city centre.;Odwiedziliśmy galerię sztuki w centrum miasta.
B1;Podróże i turystyka;monument;pomnik;There is a monument to the soldiers in the park.;W parku stoi pomnik żołnierzy.
B1;Podróże i turystyka;cathedral;katedra;The cathedral is famous for its stained glass windows.;Katedra słynie ze swoich witraży.
